surface,velocity,target_angle,time,aruco_x,aruco_y,aruco_theta,x,y,theta,odom_x,odom_y,odom_theta,x_loc,y_loc,theta_loc,wheel_joint_fl,wheel_joint_fr,wheel_joint_bl,wheel_joint_br
linoleum,0.2,-3.0543261909900767,1.399982213973999,0.16478456212971723,-0.29372730306469685,-0.23322031404113883,-0.018720477445722306,-0.005957461106907369,-0.03055132391133311,0.2667823132057651,0.11873680168654505,-0.10199534003816858,-0.2065602119173131,0.040806761369535885,0.0007591750012820447,0.117,-0.22,0.378,-0.216
linoleum,0.2,-3.0543261909900767,1.6000125408172607,0.12783902840156205,-0.2988993287392581,-0.22216940398542234,-0.05566601117387748,-0.011129486781468634,-0.019500413855616627,0.228765096208655,0.12582321720265802,-0.10176496435644382,-0.24457742891442322,0.047893176885648855,0.0009895506830068096,-0.002,-0.35,0.453,-0.032
linoleum,0.2,-3.0543261909900767,1.8000106811523438,0.08888406951819665,-0.30613764610133676,-0.16993882588909692,-0.09462097005724289,-0.018367804143547273,0.03273016424070879,0.1901676638342884,0.13271810273378756,-0.10146183014649311,-0.2831748612887898,0.0547880624167784,0.0012926848929575158,0.07,-0.399,0.521,-0.038
linoleum,0.2,-3.0543261909900767,1.9999990463256836,0.04429078696417482,-0.30344304182224485,-0.24453259657361484,-0.13921425261126472,-0.015673199864455367,-0.041863606443809126,0.1464363505020743,0.1405979934084706,-0.10118014006661748,-0.3269061746210039,0.06266795309146143,0.0015743749728331508,-0.048,-0.384,0.651,0.053
linoleum,0.2,-3.0543261909900767,2.2007694244384766,0.004602532738357021,-0.3066223548006796,-0.25308202353868364,-0.17890250683708253,-0.018852512842890135,-0.05041303340887793,0.11045151975163554,0.14657585089808062,-0.10114003121618555,-0.3628910053714427,0.06864581058107146,0.001614483823265081,0.003,-0.433,0.538,0.0
linoleum,0.2,-3.0543261909900767,2.399993896484375,-0.03407667106142721,-0.313020148506311,0.42392283655180274,-0.21758171063686677,-0.025250306548521506,0.6265918266816084,0.06893172423484732,0.15326578557338583,-0.1012650210449408,-0.4044108008882309,0.07533574525637667,0.0014894939945098301,0.045,-0.351,0.355,0.001
linoleum,0.2,-3.0543261909900767,2.6000092029571533,-0.07634788983350224,-0.31784581856703115,-0.2590586634174484,-0.2598529294089418,-0.03007597660924166,-0.05638967328764266,0.03772880712973817,0.15755557093522254,-0.10116708138918006,-0.43561371799334003,0.07962553061821338,0.0015874336502705727,-0.056,-0.163,0.66,-0.02
linoleum,0.2,-3.0543261909900767,2.799974203109741,-0.11787426000814,-0.3190081888442879,-0.2655248486721472,-0.30137929958357956,-0.031238346886498403,-0.06285585854234149,-0.008345232713953342,0.16417273220224582,-0.1008294152553849,-0.48168775783703155,0.08624269188523666,0.0019250997840657286,-0.081,-0.33,0.64,-0.065
linoleum,0.2,-3.0543261909900767,2.9999654293060303,-0.16410896448190304,-0.3244052486687456,-0.2516597718546526,-0.34761400405734255,-0.03663540671095611,-0.04899078172484689,-0.05303205328988852,0.17099791529809721,-0.10102903144775498,-0.5263745784129668,0.09306787498108805,0.0017254835916956507,-0.021,-0.396,0.604,-0.024
linoleum,0.2,-3.0543261909900767,3.2000038623809814,-0.20449182432102483,-0.3257521731202494,-0.2806749199735913,-0.3879968638964644,-0.037982331162459915,-0.07800592984378557,-0.0860817687916132,0.17561791033509297,-0.10119786252954176,-0.5594242939146914,0.09768787001808381,0.0015566525099088707,-0.054,-0.37,0.682,-0.05
